
id	gender	age	block_id	trial_number	bandit_position	 bandit_id	payoff	rt	block_score	total_score_overall	timestamp	ms
102	male	73	1	0	0	0	0	6.643000	0	0	2016-Feb29-10.39.50	101000	
102	male	73	1	1	0	0	1	20.012000	1	1	2016-Feb29-10.40.10	754000	
102	male	73	1	2	0	0	0	44.981000	1	1	2016-Feb29-10.40.56	378000	
102	male	73	1	3	0	0	0	9.484000	1	1	2016-Feb29-10.41.06	506000	
102	male	73	1	4	1	1	1	4.011000	2	2	2016-Feb29-10.41.11	165000	
102	male	73	1	5	1	1	0	3.385000	2	2	2016-Feb29-10.41.15	197000	
102	male	73	1	6	1	1	1	3.231000	3	3	2016-Feb29-10.41.19	78000	
102	male	73	1	7	1	1	0	3.567000	3	3	2016-Feb29-10.41.23	292000	
102	male	73	1	8	2	2	0	2.432000	3	3	2016-Feb29-10.41.26	378000	
102	male	73	1	9	2	2	0	1.514000	3	3	2016-Feb29-10.41.28	548000	
102	male	73	1	10	2	2	0	0.929000	3	3	2016-Feb29-10.41.30	128000	
102	male	73	1	11	2	2	0	1.139000	3	3	2016-Feb29-10.41.31	923000	
102	male	73	1	12	3	3	0	4.745000	3	3	2016-Feb29-10.41.37	326000	
102	male	73	1	13	3	3	1	0.790000	4	4	2016-Feb29-10.41.38	778000	
102	male	73	1	14	3	3	1	0.954000	5	5	2016-Feb29-10.41.40	391000	
102	male	73	1	15	3	3	0	1.308000	5	5	2016-Feb29-10.41.42	362000	
102	male	73	1	16	3	3	1	1.570000	6	6	2016-Feb29-10.41.44	593000	
102	male	73	1	17	3	3	1	0.803000	7	7	2016-Feb29-10.41.46	57000	
102	male	73	1	18	3	3	0	0.546000	7	7	2016-Feb29-10.41.47	266000	
102	male	73	1	19	3	3	1	1.592000	8	8	2016-Feb29-10.41.49	520000	
102	male	73	1	20	3	3	1	0.899000	9	9	2016-Feb29-10.41.51	79000	
102	male	73	1	21	3	3	1	0.771000	10	10	2016-Feb29-10.41.52	513000	
102	male	73	1	22	3	3	0	2.226000	10	10	2016-Feb29-10.41.55	398000	
102	male	73	1	23	3	3	0	0.973000	10	10	2016-Feb29-10.41.57	31000	
102	male	73	1	24	3	3	1	0.484000	11	11	2016-Feb29-10.41.58	179000	
102	male	73	1	25	3	3	1	0.592000	12	12	2016-Feb29-10.41.59	435000	
102	male	73	1	26	3	3	0	0.472000	12	12	2016-Feb29-10.42.00	569000	
102	male	73	1	27	3	3	1	0.729000	13	13	2016-Feb29-10.42.01	960000	
102	male	73	1	28	3	3	0	0.353000	13	13	2016-Feb29-10.42.02	978000	
102	male	73	1	29	3	3	1	0.175000	14	14	2016-Feb29-10.42.03	819000	
102	male	73	1	30	3	3	0	0.303000	14	14	2016-Feb29-10.42.04	788000	
102	male	73	1	31	3	3	1	0.478000	15	15	2016-Feb29-10.42.05	929000	
102	male	73	1	32	3	3	0	0.720000	15	15	2016-Feb29-10.42.07	313000	
102	male	73	1	33	3	3	1	1.281000	16	16	2016-Feb29-10.42.09	256000	
102	male	73	1	34	3	3	0	0.538000	16	16	2016-Feb29-10.42.10	456000	
