
id	gender	age	block_id	trial_number	bandit_position	 bandit_id	payoff	rt	block_score	total_score_overall	timestamp	ms
111	female	73	1	0	3	3	1	8.659000	1	1	2016-Mrz15-11.04.18	379000	
111	female	73	1	1	2	2	0	2.427000	1	1	2016-Mrz15-11.04.21	415000	
111	female	73	1	2	3	3	1	1.511000	2	2	2016-Mrz15-11.04.23	535000	
111	female	73	1	3	3	3	0	1.319000	2	2	2016-Mrz15-11.04.25	462000	
111	female	73	1	4	2	2	0	2.553000	2	2	2016-Mrz15-11.04.28	623000	
111	female	73	1	5	1	1	0	0.831000	2	2	2016-Mrz15-11.04.30	70000	
111	female	73	1	6	0	0	0	1.120000	2	2	2016-Mrz15-11.04.31	810000	
111	female	73	1	7	3	3	1	1.531000	3	3	2016-Mrz15-11.04.33	964000	
111	female	73	1	8	3	3	0	2.394000	3	3	2016-Mrz15-11.04.36	980000	
111	female	73	1	9	0	0	0	3.082000	3	3	2016-Mrz15-11.04.40	682000	
111	female	73	1	10	3	3	1	1.628000	4	4	2016-Mrz15-11.04.42	932000	
111	female	73	1	11	2	2	1	4.537000	5	5	2016-Mrz15-11.04.48	93000	
111	female	73	1	12	3	3	0	2.000000	5	5	2016-Mrz15-11.04.50	716000	
111	female	73	1	13	2	2	1	1.025000	6	6	2016-Mrz15-11.04.52	363000	
111	female	73	1	14	2	2	0	1.442000	6	6	2016-Mrz15-11.04.54	427000	
111	female	73	1	15	0	0	1	1.162000	7	7	2016-Mrz15-11.04.56	212000	
111	female	73	1	16	0	0	0	1.521000	7	7	2016-Mrz15-11.04.58	355000	
111	female	73	1	17	1	1	0	0.690000	7	7	2016-Mrz15-11.04.59	666000	
111	female	73	1	18	2	2	1	1.001000	8	8	2016-Mrz15-11.05.01	292000	
111	female	73	1	19	2	2	0	0.744000	8	8	2016-Mrz15-11.05.02	657000	
111	female	73	1	20	3	3	0	0.898000	8	8	2016-Mrz15-11.05.04	182000	
111	female	73	1	21	2	2	0	1.190000	8	8	2016-Mrz15-11.05.05	995000	
111	female	73	1	22	3	3	0	0.809000	8	8	2016-Mrz15-11.05.07	429000	
111	female	73	1	23	0	0	1	1.263000	9	9	2016-Mrz15-11.05.09	314000	
111	female	73	1	24	1	1	0	1.530000	9	9	2016-Mrz15-11.05.11	467000	
111	female	73	1	25	0	0	0	0.832000	9	9	2016-Mrz15-11.05.12	924000	
111	female	73	1	26	3	3	1	1.232000	10	10	2016-Mrz15-11.05.14	781000	
111	female	73	1	27	3	3	1	1.215000	11	11	2016-Mrz15-11.05.16	619000	
111	female	73	1	28	3	3	0	1.672000	11	11	2016-Mrz15-11.05.18	918000	
111	female	73	1	29	0	0	1	1.485000	12	12	2016-Mrz15-11.05.21	27000	
111	female	73	1	30	1	1	0	2.327000	12	12	2016-Mrz15-11.05.23	979000	
