
id	gender	age	block_id	trial_number	bandit_position	 bandit_id	payoff	rt	block_score	total_score_overall	timestamp	ms
123	male	74	1	0	0	0	0	2.785000	0	0	2016-Apr27-10.41.03	533000	
123	male	74	1	1	1	1	0	4.936000	0	0	2016-Apr27-10.41.09	81000	
123	male	74	1	2	3	3	1	2.100000	1	1	2016-Apr27-10.41.11	801000	
123	male	74	1	3	2	2	0	3.421000	1	1	2016-Apr27-10.41.15	847000	
123	male	74	1	4	3	3	1	2.175000	2	2	2016-Apr27-10.41.18	644000	
123	male	74	1	5	0	0	0	5.242000	2	2	2016-Apr27-10.41.24	510000	
123	male	74	1	6	1	1	0	6.303000	2	2	2016-Apr27-10.41.31	437000	
123	male	74	1	7	3	3	0	4.159000	2	2	2016-Apr27-10.41.36	228000	
123	male	74	1	8	2	2	0	2.497000	2	2	2016-Apr27-10.41.39	349000	
123	male	74	1	9	1	1	0	1.431000	2	2	2016-Apr27-10.41.41	405000	
123	male	74	1	10	0	0	1	2.295000	3	3	2016-Apr27-10.41.44	326000	
123	male	74	1	11	0	0	0	1.918000	3	3	2016-Apr27-10.41.46	868000	
123	male	74	1	12	3	3	1	1.696000	4	4	2016-Apr27-10.41.49	189000	
123	male	74	1	13	3	3	0	3.135000	4	4	2016-Apr27-10.41.52	949000	
123	male	74	1	14	2	2	1	1.223000	5	5	2016-Apr27-10.41.54	796000	
123	male	74	1	15	2	2	1	1.959000	6	6	2016-Apr27-10.41.57	380000	
123	male	74	1	16	2	2	0	1.567000	6	6	2016-Apr27-10.41.59	571000	
123	male	74	1	17	1	1	0	0.983000	6	6	2016-Apr27-10.42.01	179000	
123	male	74	1	18	2	2	1	1.088000	7	7	2016-Apr27-10.42.02	892000	
123	male	74	1	19	3	3	1	1.638000	8	8	2016-Apr27-10.42.05	156000	
123	male	74	1	20	3	3	0	1.327000	8	8	2016-Apr27-10.42.07	107000	
123	male	74	1	21	2	2	0	0.752000	8	8	2016-Apr27-10.42.08	483000	
123	male	74	1	22	0	0	1	0.959000	9	9	2016-Apr27-10.42.10	69000	
123	male	74	1	23	1	1	1	2.317000	10	10	2016-Apr27-10.42.13	12000	
123	male	74	1	24	1	1	0	1.134000	10	10	2016-Apr27-10.42.14	772000	
123	male	74	1	25	2	2	0	0.862000	10	10	2016-Apr27-10.42.16	260000	
123	male	74	1	26	0	0	0	0.726000	10	10	2016-Apr27-10.42.17	611000	
123	male	74	1	27	3	3	0	1.694000	10	10	2016-Apr27-10.42.19	932000	
123	male	74	1	28	2	2	1	0.870000	11	11	2016-Apr27-10.42.21	428000	
123	male	74	1	29	2	2	0	1.014000	11	11	2016-Apr27-10.42.23	66000	
123	male	74	1	30	1	1	1	1.200000	12	12	2016-Apr27-10.42.24	890000	
123	male	74	1	31	1	1	1	1.288000	13	13	2016-Apr27-10.42.26	804000	
123	male	74	1	32	1	1	1	1.116000	14	14	2016-Apr27-10.42.28	547000	
123	male	74	1	33	1	1	1	0.998000	15	15	2016-Apr27-10.42.30	170000	
123	male	74	1	34	1	1	0	0.726000	15	15	2016-Apr27-10.42.31	522000	
123	male	74	1	35	3	3	0	0.975000	15	15	2016-Apr27-10.42.33	124000	
123	male	74	1	36	3	3	1	1.493000	16	16	2016-Apr27-10.42.35	242000	
123	male	74	1	37	3	3	1	1.182000	17	17	2016-Apr27-10.42.37	51000	
123	male	74	1	38	3	3	0	0.846000	17	17	2016-Apr27-10.42.38	521000	
123	male	74	1	39	0	0	1	0.976000	18	18	2016-Apr27-10.42.40	122000	
123	male	74	1	40	0	0	0	0.807000	18	18	2016-Apr27-10.42.41	554000	
123	male	74	1	41	0	0	1	1.622000	19	19	2016-Apr27-10.42.43	802000	
123	male	74	1	42	0	0	1	1.293000	20	20	2016-Apr27-10.42.45	724000	
123	male	74	1	43	0	0	0	0.836000	20	20	2016-Apr27-10.42.47	185000	
123	male	74	1	44	0	0	0	1.703000	20	20	2016-Apr27-10.42.49	512000	
123	male	74	1	45	1	1	1	0.792000	21	21	2016-Apr27-10.42.50	930000	
123	male	74	1	46	1	1	0	0.646000	21	21	2016-Apr27-10.42.52	201000	
123	male	74	1	47	2	2	0	1.023000	21	21	2016-Apr27-10.42.53	849000	
123	male	74	1	48	3	3	1	2.007000	22	22	2016-Apr27-10.42.56	482000	
123	male	74	1	49	3	3	1	0.742000	23	23	2016-Apr27-10.42.57	850000	
123	male	74	1	50	3	3	0	0.654000	23	23	2016-Apr27-10.42.59	135000	
123	male	74	1	51	0	0	1	1.848000	24	24	2016-Apr27-10.43.01	609000	
123	male	74	1	52	0	0	0	0.846000	24	24	2016-Apr27-10.43.03	79000	
123	male	74	1	53	1	1	1	0.736000	25	25	2016-Apr27-10.43.04	441000	
123	male	74	1	54	1	1	0	0.701000	25	25	2016-Apr27-10.43.05	769000	
123	male	74	1	55	2	2	0	1.382000	25	25	2016-Apr27-10.43.07	778000	
123	male	74	1	56	3	3	1	0.812000	26	26	2016-Apr27-10.43.09	215000	
123	male	74	1	57	3	3	0	0.656000	26	26	2016-Apr27-10.43.10	500000	
123	male	74	1	58	0	0	0	1.459000	26	26	2016-Apr27-10.43.12	583000	
123	male	74	1	59	3	3	0	1.951000	26	26	2016-Apr27-10.43.15	160000	
123	male	74	1	60	2	2	1	0.926000	27	27	2016-Apr27-10.43.16	713000	
123	male	74	1	61	2	2	0	0.957000	27	27	2016-Apr27-10.43.18	296000	
123	male	74	1	62	1	1	0	0.614000	27	27	2016-Apr27-10.43.19	537000	
123	male	74	1	63	1	1	0	1.165000	27	27	2016-Apr27-10.43.21	328000	
123	male	74	1	64	3	3	0	1.054000	27	27	2016-Apr27-10.43.23	7000	
123	male	74	1	65	0	0	1	1.463000	28	28	2016-Apr27-10.43.25	95000	
123	male	74	1	66	0	0	0	0.879000	28	28	2016-Apr27-10.43.26	602000	
123	male	74	1	67	0	0	0	1.372000	28	28	2016-Apr27-10.43.28	600000	
123	male	74	1	68	1	1	0	1.629000	28	28	2016-Apr27-10.43.30	857000	
123	male	74	1	69	2	2	0	1.036000	28	28	2016-Apr27-10.43.32	520000	
123	male	74	1	70	3	3	1	0.949000	29	29	2016-Apr27-10.43.34	96000	
123	male	74	1	71	3	3	0	0.757000	29	29	2016-Apr27-10.43.35	479000	
123	male	74	1	72	2	2	1	1.006000	30	30	2016-Apr27-10.43.37	111000	
123	male	74	1	73	3	3	0	1.189000	30	30	2016-Apr27-10.43.38	928000	
123	male	74	1	74	2	2	1	0.645000	31	31	2016-Apr27-10.43.40	199000	
123	male	74	1	75	2	2	1	0.701000	32	32	2016-Apr27-10.43.41	529000	
123	male	74	1	76	2	2	0	1.492000	32	32	2016-Apr27-10.43.43	648000	
123	male	74	1	77	1	1	0	0.692000	32	32	2016-Apr27-10.43.44	968000	
123	male	74	1	78	0	0	1	0.596000	33	33	2016-Apr27-10.43.46	190000	
123	male	74	1	79	0	0	0	0.862000	33	33	2016-Apr27-10.43.47	678000	
123	male	74	1	80	3	3	0	1.885000	33	33	2016-Apr27-10.43.50	189000	
123	male	74	1	81	0	0	1	0.975000	34	34	2016-Apr27-10.43.51	792000	
123	male	74	1	82	0	0	1	0.787000	35	35	2016-Apr27-10.43.53	207000	
123	male	74	1	83	0	0	0	0.917000	35	35	2016-Apr27-10.43.54	750000	
123	male	74	1	84	1	1	1	0.925000	36	36	2016-Apr27-10.43.56	303000	
123	male	74	1	85	1	1	0	0.732000	36	36	2016-Apr27-10.43.57	666000	
123	male	74	1	86	2	2	0	1.282000	36	36	2016-Apr27-10.43.59	574000	
123	male	74	1	87	1	1	1	0.797000	37	37	2016-Apr27-10.44.01	0	
123	male	74	1	88	1	1	0	0.859000	37	37	2016-Apr27-10.44.02	489000	
123	male	74	1	89	0	0	1	0.954000	38	38	2016-Apr27-10.44.04	72000	
123	male	74	1	90	0	0	1	0.618000	39	39	2016-Apr27-10.44.05	323000	
123	male	74	1	91	0	0	1	0.792000	40	40	2016-Apr27-10.44.06	743000	
123	male	74	1	92	0	0	0	0.716000	40	40	2016-Apr27-10.44.08	87000	
123	male	74	1	93	3	3	1	1.443000	41	41	2016-Apr27-10.44.10	159000	
123	male	74	1	94	3	3	1	0.588000	42	42	2016-Apr27-10.44.11	376000	
123	male	74	1	95	3	3	1	0.844000	43	43	2016-Apr27-10.44.12	849000	
123	male	74	1	96	3	3	0	0.603000	43	43	2016-Apr27-10.44.14	81000	
123	male	74	1	97	0	0	1	1.027000	44	44	2016-Apr27-10.44.15	738000	
123	male	74	1	98	0	0	0	0.442000	44	44	2016-Apr27-10.44.16	810000	
123	male	74	1	99	1	1	0	0.778000	44	44	2016-Apr27-10.44.18	218000	
123	male	74	2	0	0	0	1	9.515000	1	45	2016-Apr27-10.44.32	131000	
123	male	74	2	1	0	0	1	1.243000	2	46	2016-Apr27-10.44.34	20000	
123	male	74	2	2	0	0	0	0.265000	2	46	2016-Apr27-10.44.34	931000	
123	male	74	2	3	1	1	1	0.642000	3	47	2016-Apr27-10.44.36	224000	
123	male	74	2	4	1	1	0	0.487000	3	47	2016-Apr27-10.44.37	362000	
123	male	74	2	5	1	1	0	1.269000	3	47	2016-Apr27-10.44.39	282000	
123	male	74	2	6	2	2	1	0.364000	4	48	2016-Apr27-10.44.40	306000	
123	male	74	2	7	2	2	1	0.597000	5	49	2016-Apr27-10.44.41	563000	
123	male	74	2	8	2	2	0	0.541000	5	49	2016-Apr27-10.44.42	763000	
123	male	74	2	9	3	3	1	0.757000	6	50	2016-Apr27-10.44.44	185000	
123	male	74	2	10	3	3	0	0.511000	6	50	2016-Apr27-10.44.45	361000	
123	male	74	2	11	4	4	0	1.414000	6	50	2016-Apr27-10.44.47	446000	
123	male	74	2	12	5	5	0	0.882000	6	50	2016-Apr27-10.44.49	5000	
123	male	74	2	13	6	6	0	0.802000	6	50	2016-Apr27-10.44.50	492000	
123	male	74	2	14	7	7	0	1.100000	6	50	2016-Apr27-10.44.52	281000	
123	male	74	2	15	0	0	0	0.856000	6	50	2016-Apr27-10.44.53	827000	
123	male	74	2	16	3	3	0	1.685000	6	50	2016-Apr27-10.44.56	204000	
123	male	74	2	17	2	2	0	0.726000	6	50	2016-Apr27-10.44.57	619000	
123	male	74	2	18	1	1	1	0.759000	7	51	2016-Apr27-10.44.59	66000	
