
id	gender	age	block_id	trial_number	bandit_position	 bandit_id	payoff	rt	block_score	total_score_overall	timestamp	ms
1	female	27	1	0	0	0	1	5.227000	1	1	2016-Feb23-10.06.28	388000	
1	female	27	1	1	0	0	0	26.687000	1	1	2016-Feb23-10.06.55	690000	
1	female	27	1	2	1	1	1	4.287000	2	2	2016-Feb23-10.07.00	594000	
1	female	27	1	3	0	0	1	3.003000	3	3	2016-Feb23-10.07.04	212000	
1	female	27	1	4	1	1	1	2.067000	4	4	2016-Feb23-10.07.06	891000	
1	female	27	1	5	0	0	0	0.990000	4	4	2016-Feb23-10.07.08	490000	
1	female	27	1	6	1	1	0	0.623000	4	4	2016-Feb23-10.07.09	749000	
1	female	27	1	7	0	0	1	2.896000	5	5	2016-Feb23-10.07.13	261000	
1	female	27	1	8	2	2	0	4.155000	5	5	2016-Feb23-10.07.18	35000	
1	female	27	1	9	3	3	0	0.680000	5	5	2016-Feb23-10.07.19	341000	
1	female	27	1	10	0	0	1	0.678000	6	6	2016-Feb23-10.07.20	647000	
1	female	27	1	11	1	1	0	1.070000	6	6	2016-Feb23-10.07.22	343000	
1	female	27	1	12	0	0	1	0.471000	7	7	2016-Feb23-10.07.23	443000	
1	female	27	1	13	1	1	1	0.658000	8	8	2016-Feb23-10.07.24	729000	
1	female	27	1	14	0	0	1	0.765000	9	9	2016-Feb23-10.07.26	120000	
1	female	27	1	15	1	1	1	0.557000	10	10	2016-Feb23-10.07.27	308000	
1	female	27	1	16	0	0	1	0.434000	11	11	2016-Feb23-10.07.28	370000	
1	female	27	1	17	1	1	0	0.229000	11	11	2016-Feb23-10.07.29	244000	
1	female	27	1	18	0	0	0	0.476000	11	11	2016-Feb23-10.07.30	352000	
1	female	27	1	19	1	1	1	2.793000	12	12	2016-Feb23-10.07.33	771000	
1	female	27	1	20	0	0	0	0.317000	12	12	2016-Feb23-10.07.34	719000	
1	female	27	1	21	1	1	1	0.715000	13	13	2016-Feb23-10.07.36	64000	
1	female	27	1	22	1	1	1	0.546000	14	14	2016-Feb23-10.07.37	241000	
1	female	27	1	23	1	1	0	0.465000	14	14	2016-Feb23-10.07.38	338000	
1	female	27	1	24	0	0	1	0.449000	15	15	2016-Feb23-10.07.39	417000	
1	female	27	1	25	0	0	0	0.483000	15	15	2016-Feb23-10.07.40	527000	
1	female	27	1	26	0	0	0	0.485000	15	15	2016-Feb23-10.07.41	643000	
1	female	27	1	27	1	1	1	0.409000	16	16	2016-Feb23-10.07.42	683000	
1	female	27	1	28	1	1	0	0.305000	16	16	2016-Feb23-10.07.43	620000	
1	female	27	1	29	0	0	1	0.344000	17	17	2016-Feb23-10.07.44	596000	
1	female	27	1	30	0	0	0	0.449000	17	17	2016-Feb23-10.07.45	676000	
1	female	27	1	31	1	1	1	0.377000	18	18	2016-Feb23-10.07.46	683000	
1	female	27	1	32	1	1	1	0.339000	19	19	2016-Feb23-10.07.47	655000	
1	female	27	1	33	0	0	1	0.311000	20	20	2016-Feb23-10.07.48	599000	
1	female	27	1	34	1	1	1	0.423000	21	21	2016-Feb23-10.07.49	652000	
1	female	27	1	35	1	1	1	0.387000	22	22	2016-Feb23-10.07.50	659000	
1	female	27	1	36	0	0	0	0.620000	22	22	2016-Feb23-10.07.51	913000	
1	female	27	1	37	1	1	0	0.494000	22	22	2016-Feb23-10.07.53	39000	
1	female	27	1	38	0	0	0	0.760000	22	22	2016-Feb23-10.07.54	441000	
1	female	27	1	39	0	0	1	0.664000	23	23	2016-Feb23-10.07.55	744000	
1	female	27	1	40	1	1	0	0.609000	23	23	2016-Feb23-10.07.56	972000	
1	female	27	1	41	1	1	1	0.973000	24	24	2016-Feb23-10.07.58	600000	
1	female	27	1	42	1	1	1	0.874000	25	25	2016-Feb23-10.08.00	99000	
1	female	27	1	43	0	0	0	0.727000	25	25	2016-Feb23-10.08.01	452000	
1	female	27	1	44	1	1	0	0.607000	25	25	2016-Feb23-10.08.02	691000	
1	female	27	1	45	1	1	0	0.376000	25	25	2016-Feb23-10.08.03	705000	
1	female	27	1	46	0	0	0	1.315000	25	25	2016-Feb23-10.08.05	653000	
1	female	27	1	47	2	2	0	1.312000	25	25	2016-Feb23-10.08.07	593000	
1	female	27	1	48	3	3	0	0.436000	25	25	2016-Feb23-10.08.08	662000	
1	female	27	1	49	2	2	1	0.719000	26	26	2016-Feb23-10.08.10	14000	
1	female	27	1	50	3	3	1	0.800000	27	27	2016-Feb23-10.08.11	440000	
1	female	27	1	51	2	2	1	0.567000	28	28	2016-Feb23-10.08.12	640000	
1	female	27	1	52	3	3	0	0.422000	28	28	2016-Feb23-10.08.13	689000	
1	female	27	1	53	2	2	1	0.605000	29	29	2016-Feb23-10.08.14	927000	
1	female	27	1	54	2	2	1	0.272000	30	30	2016-Feb23-10.08.15	830000	
1	female	27	1	55	2	2	0	0.257000	30	30	2016-Feb23-10.08.16	718000	
1	female	27	1	56	2	2	0	0.650000	30	30	2016-Feb23-10.08.17	998000	
1	female	27	1	57	3	3	0	0.450000	30	30	2016-Feb23-10.08.19	79000	
1	female	27	1	58	3	3	1	0.273000	31	31	2016-Feb23-10.08.19	988000	
1	female	27	1	59	3	3	1	0.541000	32	32	2016-Feb23-10.08.21	156000	
1	female	27	1	60	3	3	1	0.245000	33	33	2016-Feb23-10.08.22	32000	
1	female	27	1	61	3	3	0	0.218000	33	33	2016-Feb23-10.08.22	881000	
1	female	27	1	62	3	3	0	0.953000	33	33	2016-Feb23-10.08.24	460000	
1	female	27	1	63	3	3	1	0.551000	34	34	2016-Feb23-10.08.25	637000	
1	female	27	1	64	3	3	0	0.374000	34	34	2016-Feb23-10.08.26	639000	
1	female	27	1	65	2	2	0	0.397000	34	34	2016-Feb23-10.08.27	663000	
1	female	27	1	66	2	2	1	0.588000	35	35	2016-Feb23-10.08.28	879000	
1	female	27	1	67	2	2	0	0.316000	35	35	2016-Feb23-10.08.29	826000	
1	female	27	1	68	1	1	0	0.481000	35	35	2016-Feb23-10.08.30	935000	
