
id	gender	age	block_id	trial_number	bandit_position	 bandit_id	payoff	rt	block_score	total_score_overall	timestamp	ms
25	male	22	1	0	0	0	1	8.365000	1	1	2016-Mai20-10.02.39	845000	
25	male	22	1	1	1	1	1	10.242000	2	2	2016-Mai20-10.02.50	754000	
25	male	22	1	2	2	2	0	8.084000	2	2	2016-Mai20-10.02.59	457000	
25	male	22	1	3	3	3	0	5.980000	2	2	2016-Mai20-10.03.06	63000	
25	male	22	1	4	0	0	0	6.838000	2	2	2016-Mai20-10.03.13	525000	
25	male	22	1	5	1	1	1	4.200000	3	3	2016-Mai20-10.03.18	350000	
25	male	22	1	6	3	3	0	6.271000	3	3	2016-Mai20-10.03.25	248000	
25	male	22	1	7	2	2	0	5.300000	3	3	2016-Mai20-10.03.31	172000	
25	male	22	1	8	1	1	0	1.776000	3	3	2016-Mai20-10.03.33	572000	
25	male	22	1	9	0	0	1	3.368000	4	4	2016-Mai20-10.03.37	564000	
25	male	22	1	10	1	1	0	2.616000	4	4	2016-Mai20-10.03.40	804000	
25	male	22	1	11	0	0	0	2.175000	4	4	2016-Mai20-10.03.43	603000	
25	male	22	1	12	2	2	1	2.159000	5	5	2016-Mai20-10.03.46	389000	
25	male	22	1	13	3	3	1	2.670000	6	6	2016-Mai20-10.03.49	683000	
25	male	22	1	14	2	2	1	3.912000	7	7	2016-Mai20-10.03.54	221000	
25	male	22	1	15	3	3	0	2.822000	7	7	2016-Mai20-10.03.57	667000	
25	male	22	1	16	1	1	1	3.102000	8	8	2016-Mai20-10.04.01	395000	
25	male	22	1	17	0	0	0	4.167000	8	8	2016-Mai20-10.04.06	189000	
25	male	22	1	18	3	3	0	2.125000	8	8	2016-Mai20-10.04.08	940000	
25	male	22	1	19	2	2	1	2.038000	9	9	2016-Mai20-10.04.11	603000	
25	male	22	1	20	2	2	1	4.557000	10	10	2016-Mai20-10.04.16	786000	
25	male	22	1	21	2	2	0	1.742000	10	10	2016-Mai20-10.04.19	154000	
25	male	22	1	22	1	1	1	1.623000	11	11	2016-Mai20-10.04.21	403000	
25	male	22	1	23	1	1	0	1.181000	11	11	2016-Mai20-10.04.23	211000	
25	male	22	1	24	0	0	1	6.717000	12	12	2016-Mai20-10.04.30	556000	
25	male	22	1	25	2	2	0	3.132000	12	12	2016-Mai20-10.04.34	313000	
25	male	22	1	26	3	3	1	2.006000	13	13	2016-Mai20-10.04.36	946000	
25	male	22	1	27	1	1	1	5.957000	14	14	2016-Mai20-10.04.43	528000	
