
id	gender	age	block_id	trial_number	bandit_position	 bandit_id	payoff	rt	block_score	total_score_overall	timestamp	ms
28	female	23	1	0	0	0	1	3.591000	1	1	2016-Mai30-15.37.05	238000	
28	female	23	1	1	1	1	1	1.117000	2	2	2016-Mai30-15.37.07	2000	
28	female	23	1	2	2	2	1	0.634000	3	3	2016-Mai30-15.37.08	289000	
28	female	23	1	3	3	3	1	0.514000	4	4	2016-Mai30-15.37.09	467000	
28	female	23	1	4	4	4	0	0.432000	4	4	2016-Mai30-15.37.10	569000	
28	female	23	1	5	5	5	0	0.370000	4	4	2016-Mai30-15.37.11	610000	
28	female	23	1	6	6	6	0	0.584000	4	4	2016-Mai30-15.37.12	878000	
28	female	23	1	7	7	7	0	0.238000	4	4	2016-Mai30-15.37.13	800000	
28	female	23	1	8	3	3	0	0.716000	4	4	2016-Mai30-15.37.15	203000	
28	female	23	1	9	2	2	1	0.577000	5	5	2016-Mai30-15.37.16	464000	
28	female	23	1	10	1	1	0	0.372000	5	5	2016-Mai30-15.37.17	521000	
28	female	23	1	11	2	2	0	0.459000	5	5	2016-Mai30-15.37.18	666000	
28	female	23	1	12	0	0	0	0.657000	5	5	2016-Mai30-15.37.20	7000	
28	female	23	1	13	0	0	0	1.285000	5	5	2016-Mai30-15.37.21	976000	
28	female	23	1	14	1	1	0	0.380000	5	5	2016-Mai30-15.37.23	41000	
28	female	23	1	15	2	2	0	0.795000	5	5	2016-Mai30-15.37.24	522000	
28	female	23	1	16	3	3	0	0.281000	5	5	2016-Mai30-15.37.25	490000	
28	female	23	1	17	7	7	0	0.370000	5	5	2016-Mai30-15.37.26	547000	
28	female	23	1	18	6	6	0	0.425000	5	5	2016-Mai30-15.37.27	658000	
28	female	23	1	19	5	5	0	0.386000	5	5	2016-Mai30-15.37.28	732000	
28	female	23	1	20	4	4	1	0.312000	6	6	2016-Mai30-15.37.29	730000	
28	female	23	1	21	4	4	0	1.138000	6	6	2016-Mai30-15.37.31	554000	
28	female	23	1	22	0	0	0	0.530000	6	6	2016-Mai30-15.37.32	771000	
28	female	23	1	23	2	2	0	1.330000	6	6	2016-Mai30-15.37.34	787000	
28	female	23	1	24	2	2	0	1.346000	6	6	2016-Mai30-15.37.36	819000	
28	female	23	1	25	0	0	1	0.546000	7	7	2016-Mai30-15.37.38	49000	
28	female	23	1	26	0	0	0	0.772000	7	7	2016-Mai30-15.37.39	505000	
28	female	23	1	27	0	0	1	0.954000	8	8	2016-Mai30-15.37.41	149000	
28	female	23	1	28	0	0	1	0.863000	9	9	2016-Mai30-15.37.42	700000	
28	female	23	1	29	0	0	0	1.081000	9	9	2016-Mai30-15.37.44	466000	
28	female	23	1	30	2	2	1	1.794000	10	10	2016-Mai30-15.37.46	947000	
28	female	23	1	31	2	2	1	0.937000	11	11	2016-Mai30-15.37.48	572000	
28	female	23	1	32	2	2	1	0.857000	12	12	2016-Mai30-15.37.50	118000	
28	female	23	1	33	2	2	0	0.879000	12	12	2016-Mai30-15.37.51	681000	
28	female	23	1	34	2	2	0	0.779000	12	12	2016-Mai30-15.37.53	145000	
28	female	23	1	35	1	1	1	0.541000	13	13	2016-Mai30-15.37.54	375000	
28	female	23	1	36	1	1	0	0.678000	13	13	2016-Mai30-15.37.55	741000	
28	female	23	1	37	2	2	1	0.655000	14	14	2016-Mai30-15.37.57	85000	
28	female	23	1	38	2	2	0	1.248000	14	14	2016-Mai30-15.37.59	19000	
28	female	23	1	39	0	0	1	0.754000	15	15	2016-Mai30-15.38.00	460000	
28	female	23	1	40	0	0	1	0.753000	16	16	2016-Mai30-15.38.01	901000	
28	female	23	1	41	0	0	0	0.881000	16	16	2016-Mai30-15.38.03	471000	
28	female	23	1	42	0	0	1	0.775000	17	17	2016-Mai30-15.38.04	935000	
28	female	23	1	43	0	0	0	0.791000	17	17	2016-Mai30-15.38.06	414000	
28	female	23	1	44	2	2	1	0.832000	18	18	2016-Mai30-15.38.07	934000	
28	female	23	1	45	2	2	0	0.536000	18	18	2016-Mai30-15.38.09	158000	
28	female	23	1	46	2	2	1	0.736000	19	19	2016-Mai30-15.38.10	582000	
28	female	23	1	47	2	2	0	0.856000	19	19	2016-Mai30-15.38.12	123000	
28	female	23	1	48	2	2	1	0.771000	20	20	2016-Mai30-15.38.13	586000	
28	female	23	1	49	1	1	0	0.452000	20	20	2016-Mai30-15.38.14	724000	
28	female	23	1	50	2	2	0	0.530000	20	20	2016-Mai30-15.38.15	944000	
28	female	23	1	51	2	2	0	1.086000	20	20	2016-Mai30-15.38.17	720000	
28	female	23	1	52	3	3	0	0.181000	20	20	2016-Mai30-15.38.18	592000	
28	female	23	1	53	3	3	0	1.142000	20	20	2016-Mai30-15.38.20	422000	
28	female	23	1	54	4	4	1	1.063000	21	21	2016-Mai30-15.38.22	175000	
28	female	23	1	55	4	4	0	1.088000	21	21	2016-Mai30-15.38.23	954000	
28	female	23	1	56	0	0	1	1.237000	22	22	2016-Mai30-15.38.25	879000	
28	female	23	1	57	0	0	1	0.840000	23	23	2016-Mai30-15.38.27	405000	
28	female	23	1	58	0	0	1	0.576000	24	24	2016-Mai30-15.38.28	671000	
28	female	23	1	59	0	0	1	0.590000	25	25	2016-Mai30-15.38.29	953000	
28	female	23	1	60	0	0	1	0.693000	26	26	2016-Mai30-15.38.31	335000	
28	female	23	1	61	0	0	0	0.567000	26	26	2016-Mai30-15.38.32	592000	
28	female	23	1	62	0	0	1	0.598000	27	27	2016-Mai30-15.38.33	878000	
28	female	23	1	63	0	0	1	0.600000	28	28	2016-Mai30-15.38.35	170000	
28	female	23	1	64	0	0	0	0.717000	28	28	2016-Mai30-15.38.36	576000	
28	female	23	1	65	0	0	0	0.422000	28	28	2016-Mai30-15.38.37	687000	
28	female	23	1	66	0	0	0	0.864000	28	28	2016-Mai30-15.38.39	241000	
28	female	23	1	67	0	0	1	1.014000	29	29	2016-Mai30-15.38.40	946000	
28	female	23	1	68	0	0	0	0.885000	29	29	2016-Mai30-15.38.42	519000	
