id,likBB_median,age
21,206.8926366,24
4,206.7486449,24
10,196.7782558,24
29,207.6373978,24
19,116.6205613,24
18,205.3044426,24
27,177.6825847,24
15,198.2627802,24
16,191.1417297,24
28,154.3521515,24
12,194.9148101,24
23,187.5832997,24
9,164.0779442,24
25,188.8294506,24
20,179.6026458,24
11,119.5046194,24
14,139.596065,24
22,182.5002133,24
26,200.2010679,24
3,163.949063,24
13,170.3055318,24
2,184.8879031,24
7,192.839622,24
5,159.8828019,24
24,190.7432248,24
17,156.7735815,24
8,173.8477384,24
1,169.9931157,24
6,160.7647825,24
132,207.987302,70
129,207.9523917,70
117,207.9051147,70
114,207.9621501,70
112,207.2837106,70
127,204.6075672,70
103,208.072798,70
131,180.0920867,70
106,167.6552308,70
124,154.4121757,70
111,176.2575116,70
121,176.1147051,70
110,206.7023828,70
105,155.1478102,70
109,176.9128004,70
104,169.5805278,70
120,201.5383436,70
115,177.8250499,70
119,207.9919607,70
123,199.2601954,70
125,200.8039588,70
130,177.5930469,70
107,193.162808,70
128,206.8881278,70
122,204.5172175,70
116,203.4274872,70
102,198.2367642,70
118,203.3741675,70
113,197.8058192,70
108,200.061367,70
101,161.7259337,70
126,180.5029127,70
